pl_name,hostname,disc_year,discoverymethod,pl_rade,pl_bmasse,pl_bmassprov,pl_orbper,pl_eqt,pl_insol,pl_orbsmax,st_teff,st_rad,st_mass,st_met,st_age,sy_dist
HIP 97166 b,HIP 97166,2021,Transit,2.4801338,19.1,Mass,10.288914,701.66,9.0686,0.091,5216,0.8418,0.9342,0.248,1.2,65.9501
HR 858 b,HR 858,2019,Transit,2.004,3.55,Mass,3.585287,1552,989.7,0.04888,6354,1.258,1.204,0.025,2,31.964
HR 858 c,HR 858,2019,Transit,1.979,3.8,Mass,5.973865,1309,512,0.0687,6354,1.258,1.204,0.025,2,31.964
HR 858 d,HR 858,2019,Transit,2.001,7.1,Mass,11.230511,1061,217,0.1046,6354,1.258,1.204,0.025,2,31.964
K2-10 b,K2-10,2015,Transit,3.773,25.2,Mass,19.30553,649,42.1,0.137,5533,0.956,0.88,-0.07,,272.36
K2-100 b,K2-100,2016,Transit,3.88,21.8,Mass,1.6739035,1841,1915,0.0301,5945,1.24,1.15,0.22,0.75,188.959
K2-105 b,K2-105,2017,Transit,3.4,15.4,Mass,8.26726,805,100,0.0796,5373,0.905,0.94,0.22,0.6,197.989
K2-107 b,K2-107,2017,Transit,15.98,266.9772,Mass,3.313959,1649,1291.4267,0.0475,6061,1.81,1.3,0.14,4.25,685.2
K2-108 b,K2-108,2017,Transit,5.33,59.4,Mass,4.733999,1360,762,0.0581,5599,1.76,1.17,0.36,7.8,477.295
K2-110 b,K2-110,2017,Transit,2.592,15.9,Mass,13.86375,638,27.7,0.10207,5010,0.713,0.738,-0.34,8,116.474
K2-111 b,K2-111,2017,Transit,1.837,5.35,Mass,5.3518963,1293,490,0.0565,5775,1.25,0.84,-0.46,12.3,200.394
K2-113 b,K2-113,2017,Transit,12.14,410.0007,Mass,5.817685,1098,277.39,0.0642,5660,1.24,1.04,0.27,5.9,635.722
K2-114 b,K2-114,2017,Transit,10.59248676,638.8350981,Mass,11.390931,701.4,40,0.0944,4899,0.832,0.863,0.42,7.6,475.758
K2-115 b,K2-115,2017,Transit,11.80305668,321.0066911,Mass,20.2729914,696,20.4393,0.1415,5870,0.855,0.918,-0.198,2.2,413.591
K2-12 b,K2-12,2015,Transit,2.44,5.2,Mass,8.28246,1026,185,0.0792,5672,1.117,0.965,0,8.9,326.381
K2-121 b,K2-121,2017,Transit,7.16,51,Mass,5.185738,716,62.5,0.0525,4526,0.675,0.71,0.04,,169.398
K2-131 b,K2-131,2017,Transit,1.69,7.9,Mass,0.3693038,2223,4070,0.00936,5120,0.7595,0.803,-0.04,5.3,152.509
K2-132 b,K2-132,2017,Transit,14.5717,155.7367,Mass,9.1751,1586,293.374,0.0916,4840,3.85,1.08,-0.01,8.5,609.818
K2-136 b,K2-136,2017,Transit,1.014,4.3,Mass,7.97525,610,33.5,0.0707,4500,0.677,0.742,-0.02,0.65,59.2474
K2-136 c,K2-136,2017,Transit,3,18.1,Mass,17.30723,470,11.91,0.1185,4500,0.677,0.742,-0.02,0.65,59.2474
K2-136 d,K2-136,2017,Transit,1.565,3,Mass,25.575,420,7.07,0.1538,4500,0.677,0.742,-0.02,0.65,59.2474
K2-137 b,K2-137,2017,Transit,0.64,158.915,Mass,0.179719,1471,975.5731,0.0058,3697,0.29,0.463,-0.059,,98.8765
K2-138 b,K2-138,2017,Transit,1.51,3.1,Mass,2.35309,1157,486,0.03385,5356.3,0.863,0.935,0.14,2.8,202.585
K2-138 c,K2-138,2017,Transit,2.299,6.31,Mass,3.56004,1012,279,0.04461,5356.3,0.863,0.935,0.14,2.8,202.585
K2-138 d,K2-138,2017,Transit,2.39,7.92,Mass,5.40479,888,160,0.05893,5356.3,0.863,0.935,0.14,2.8,202.585
K2-138 e,K2-138,2017,Transit,3.39,12.97,Mass,8.26146,757,91.1,0.0782,5356.3,0.863,0.935,0.14,2.8,202.585
K2-138 f,K2-138,2017,Transit,2.904,1.63,Mass,12.75758,653,51,0.10447,5356.3,0.863,0.935,0.14,2.8,202.585
K2-138 g,K2-138,2021,Transit,3.013,4.32,Mass,41.96797,445,9.29,0.23109,5356.3,0.863,0.935,0.14,2.8,202.585
K2-139 b,K2-139,2017,Transit,9.11,123.00021,Mass,28.380619,524,15.5562,0.1796,5370,0.88,0.96,0.24,1.8,153.856
K2-140 b,K2-140,2017,Transit,13.56286665,295.5804185,Mass,6.569188,962,204,0.068,5585,1.06,0.96,0.1,9.8,347.917
K2-141 b,K2-141,2018,Transit,1.51,4.97,Mass,0.2803244,2103,3260,0.00747,4570,0.681,0.708,0,6.3,61.8736
K2-141 c,K2-141,2018,Transit,7,8,Mass,7.7485,695,39.1,0.0683,4570,0.681,0.708,0,6.3,61.8736
K2-146 b,K2-146,2018,Transit,2.05,5.77,Mass,2.6446,534,20.7,0.0248,3385,0.33,0.331,-0.02,5,79.3002
K2-146 c,K2-146,2019,Transit,2.19,7.49,Mass,4.00498,518.53,14.028,0.0327,3385,0.33,0.331,-0.02,5,79.3002
K2-157 b,K2-157,2018,Transit,0.935,1.14,Mass,0.3652575,2432,6660,0.00962,5334,0.86,0.89,0.02,8.8,298.373
K2-167 b,K2-167,2018,Transit,2.36509493,6.5,Mass,9.978541,1220,317,0.0932,6310,1.499,1.084,-0.456,5.3,80.8994
K2-18 b,K2-18,2015,Transit,2.37,8.92,Mass,32.939623,284,1.005,0.1429,3457,0.411,0.359,0.12,,38.0266
K2-180 b,K2-180,2018,Transit,2.46597575,11.41003981,Mass,8.865663,797.5,48.3,0.0756,5365,0.719,0.735,-0.578,7.5,203.896
K2-182 b,K2-182,2018,Transit,2.71257333,20.97667486,Mass,4.7369696,965.8,146.9,0.05174,5128,0.789,0.823,0.022,6.2,154.83
K2-19 b,K2-19,2015,Transit,7,30.8,Mass,7.9193,857,87,0.07487,5322,0.82,0.88,0.06,1.7,289.827
K2-19 c,K2-19,2015,Transit,4.1,11,Mass,11.906,679,51,0.0982,5322,0.82,0.88,0.06,1.7,289.827
K2-19 d,K2-19,2016,Transit,1.044,6.2,Mass,2.50827,1258,404,0.03478,5350,0.824,0.892,0.03,1.7,289.827
K2-199 b,K2-199,2018,Transit,1.73,6.9,Mass,3.2253993,913,116.2,0.0382,4491,0.682,0.711,-0.01,5.04,107.518
K2-199 c,K2-199,2018,Transit,2.85,12.4,Mass,7.3744897,694,38.6,0.0662,4491,0.682,0.711,-0.01,5.04,107.518
K2-216 b,K2-216,2018,Transit,1.75,8,Mass,2.1748,1103,248,0.028,4503,0.72,0.7,0,,115.461
K2-22 b,K2-22,2015,Transit,2.3,444.962,Mass,0.381073,2100,114,0.009,3879,0.58,0.595292,0.032,,243.836
K2-222 b,K2-222,2018,Transit,2.275,7.5,Mass,15.3889274,803,95,0.1186,5942,1.072,0.94,-0.315,7.1,101.321
K2-229 b,K2-229,2018,Transit,1,2.55,Mass,0.584216,1818,2290,0.0131,5315,0.79,0.87,-0.09,5.4,102.564
K2-229 c,K2-229,2018,Transit,2.03,7,Mass,8.32727,750,66,0.0769,5315,0.79,0.87,-0.09,5.4,102.564
K2-232 b,K2-232,2018,Transit,11.209,126.49634,Mass,11.168454,1030,312.155,0.10356,6154,1.161,1.188,0.1,1.43,130.72
K2-233 b,K2-233,2018,Transit,1.315,2.4,Mass,2.467583,1127,269,0.03293,4796,0.71,0.79,-0.082,0.36,67.5062
K2-233 c,K2-233,2018,Transit,1.272,4.6,Mass,7.06024,794,66.2,0.0664,4796,0.71,0.79,-0.082,0.36,67.5062
K2-233 d,K2-233,2018,Transit,2.363,10.3,Mass,24.3681,525,12.7,0.1516,4796,0.71,0.79,-0.082,0.36,67.5062
K2-237 b,K2-237,2018,Transit,16.06246934,434.153604,Mass,2.18053332,1759,1860,0.03552,6180,1.236,1.256,0.337,1.09,314.995
K2-238 b,K2-238,2018,Transit,14.5717,273.3338,Mass,3.20466,1587,1082.6407,0.046,5630,1.59,1.19,0.34,5.63,537.963
K2-24 b,K2-24,2016,Transit,5.638,20.6,Mass,20.8895961,732,52,0.1673,5726,1.185,1.091,0.41,4.9,170.562
K2-24 c,K2-24,2016,Transit,7.93,16.4,Mass,42.34732,591,20,0.262,5726,1.185,1.091,0.41,4.9,170.562
K2-25 b,K2-25,2015,Transit,3.44,24.5,Mass,3.48456408,494,9.91,0.0287,3207,0.2932,0.2634,0.15,0.73,44.9565
K2-260 b,K2-260,2018,Transit,18.41635529,546.66486,Mass,2.62669762,2090,2520.03,0.04392,6860,1.755,1.637,0.334,0.65,663.834
K2-261 b,K2-261,2018,Transit,9.26982704,68.96876432,Mass,11.6334681,1036,180,0.1086,5490,1.663,1.107,0.372,8.8,213.283
K2-263 b,K2-263,2018,Transit,2.513,15.4,Mass,50.819172,482,8.17,0.2573,5368,0.85,0.88,-0.08,7,162.481
K2-265 b,K2-265,2018,Transit,1.70824866,7.3418362,Mass,2.36902,1366,592,0.03359,5420,0.92,0.901,0.033,7.8,138.671
K2-266 d,K2-266,2018,Transit,2.93,8.9,Mass,14.697,538.3,13.95,0.1035,4285,0.703,0.686,-0.12,,77.5586
K2-266 e,K2-266,2018,Transit,2.73,14.3,Mass,19.482,490.1,9.581,0.1249,4285,0.703,0.686,-0.12,,77.5586
K2-27 b,K2-27,2016,Transit,4.74,30.2,Mass,6.771347,836,116,0.06702,5246,0.876,0.88,0.12,10.3,249.645
K2-277 b,K2-277,2018,Transit,2.18575124,7.4,Mass,6.326768,1049,195,0.0664,5680,0.973,0.974,0.078,4.9,113.123
K2-280 b,K2-280,2018,Transit,7.5,37.1,Mass,19.89526,787,69.5,0.1461,5500,1.28,1.03,0.33,8.96,391.537
K2-285 b,K2-285,2018,Transit,2.59,9.68,Mass,3.471745,1088.9,234.31,0.03817,4975,0.787,0.83,0,,154.961
K2-285 c,K2-285,2018,Transit,3.53,15.68,Mass,7.138048,741.4,50.35,0.0824,4975,0.787,0.83,0,,154.961
K2-285 d,K2-285,2018,Transit,2.48,6.5,Mass,10.45582,619.9,24.61,0.1178,4975,0.787,0.83,0,,154.961
K2-285 e,K2-285,2018,Transit,1.95,10.7,Mass,14.76289,500.9,10.5,0.18041,4975,0.787,0.83,0,,154.961
K2-287 b,K2-287,2018,Transit,9.494023,100.11645,Mass,14.893291,804,53.5814,0.1206,5695,1.07,1.056,0.2,4.5,158.335
K2-29 b,K2-29,2016,Transit,13.33871,232.0159,Mass,3.2588321,1171,293,0.04217,5358,0.86,0.94,0.16,2.6,178.475
K2-290 b,K2-290,2019,Transit,3.06,10.9,Mass,9.21165,1230,308.9946,0.0923,6302,1.511,1.194,-0.06,4,272.909
