pl_name,hostname,disc_year,discoverymethod,pl_rade,pl_bmasse,pl_bmassprov,pl_orbper,pl_eqt,pl_insol,pl_orbsmax,st_teff,st_rad,st_mass,st_met,st_age,sy_dist
"WASP-114 b","WASP-114",2016,"Transit",15.00885100,562.24127000,"Mass",1.54877430000,2043.00,2978.2048,0.0285100000,5940.00,1.430000,1.289000,0.1400,4.3000,523.33700000
"WASP-116 b","WASP-116",2025,"Transit",13.67495645,203.41018048,"Mass",6.61320000000,1414.00,663.0000,0.0650000000,6250.00,1.426000,1.250000,0.0000,1.7000,559.24300000
"WASP-117 b","WASP-117",2014,"Transit",11.88154000,95.34900000,"Mass",10.02165000000,1001.00,706.3929,0.0945900000,6040.00,1.220000,1.290000,-0.1100,4.6000,157.96300000
"WASP-118 b","WASP-118",2016,"Transit",16.14096000,163.36462000,"Mass",4.04604350000,1729.00,6586.4700,0.0545300000,6410.00,1.696000,1.320000,0.1600,1.1700,376.65800000
"WASP-119 b","WASP-119",2016,"Transit",15.69260000,390.93090000,"Mass",2.49979000000,1600.00,907.8624,0.0363000000,5650.00,1.200000,1.020000,0.1400,8.0000,302.44800000
"WASP-12 b","WASP-12",2008,"Transit",22.02564708,467.21010000,"Mass",1.09141890100,2601.00,8220.5840,0.0234000000,6265.00,1.690000,1.325000,0.1200,3.0500,427.24600000
"WASP-120 b","WASP-120",2016,"Transit",15.58048317,1541.47550000,"Mass",3.61126721000,1749.00,1818.5489,0.0514000000,6450.00,1.684430,1.393000,-0.0500,0.7000,381.17400000
"WASP-121 b","WASP-121",2016,"Transit",19.52604438,371.85923619,"Mass",1.27492504000,2409.00,6216.4100,0.0257100000,6628.00,1.461000,1.330000,0.1700,1.1100,269.89800000
"WASP-123 b","WASP-123",2016,"Transit",15.13212395,285.72917000,"Mass",2.97764359000,1500.00,758.3240,0.0426300000,5740.00,1.285000,1.166000,0.1800,6.9000,197.99600000
"WASP-124 b","WASP-124",2016,"Transit",13.89916000,190.69800000,"Mass",3.37265000000,1400.00,748.0000,0.0449000000,6050.00,1.020000,1.070000,-0.0200,2.1000,448.63700000
"WASP-126 b","WASP-126",2016,"Transit",10.51358773,90.30000000,"Mass",3.28883000000,1480.00,759.3374,0.0449000000,5800.00,1.270000,1.120000,0.2068,6.4000,216.52600000
"WASP-127 b","WASP-127",2016,"Transit",14.69499900,52.34660100,"Mass",4.17806203000,1400.00,703.9710,0.0484000000,5620.00,1.333000,0.950000,-0.1930,11.4100,159.50700000
"WASP-129 b","WASP-129",2016,"Transit",10.42437000,317.83000000,"Mass",5.74814500000,1100.00,345.7201,0.0628000000,5900.00,0.900000,1.000000,0.1500,1.0000,301.46200000
"WASP-13 b","WASP-13",2009,"Transit",13.67498000,114.41880000,"Mass",4.35301000000,1531.00,617.3090,0.0536200000,5950.00,1.370000,0.720000,0.0000,5.0000,227.53700000
